"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","20-May-2026","16,000.79","14,032.44","1,968.35"
"FII/FPI","20-May-2026","14,139.56","15,736.91","-1,597.35"
