Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
14-May-26,360ONE,1102.1,1077.5,  0.02257391,  0.02178410,  0.02178819,  0.41626276,1107.2,1080.1,  0.02478068,  0.02181700,  0.02183279,  0.41711478,  0.02183279,  0.41711478
14-May-26,ABB,6429,6305,  0.01947604,  0.02038093,  0.02037645,  0.38929151,6430,6324,  0.01662262,  0.02042858,  0.02041139,  0.38995909,  0.02041139,  0.38995909
14-May-26,ABCAPITAL,349.65,344.3,  0.01541928,  0.02142439,  0.02139845,  0.40881686,351.1,345.35,  0.01651269,  0.02161598,  0.02159345,  0.41254229,  0.02159345,  0.41254229
14-May-26,ADANIENSOL,1319.1,1318.2,  0.00068252,  0.02914571,  0.02907275,  0.55543417,1320.4,1322.6, -0.00166478,  0.02929295,  0.02921992,  0.55824570,  0.02921992,  0.55824570
14-May-26,ADANIENT,2713,2498.1,  0.08252459,  0.02501326,  0.02562388,  0.48954355,2716.3,2509.8,  0.07906759,  0.02559753,  0.02613833,  0.49937208,  0.02613833,  0.49937208
14-May-26,ADANIGREEN,1414.9,1366.7,  0.03465978,  0.03056051,  0.03058230,  0.58427394,1422,1372.5,  0.03543044,  0.03072200,  0.03074731,  0.58742663,  0.03074731,  0.58742663
14-May-26,ADANIPORTS,1773.4,1737.7,  0.02033621,  0.02108254,  0.02107879,  0.40270975,1779.1,1745.4,  0.01912386,  0.02102426,  0.02101520,  0.40149478,  0.02107879,  0.40270975
14-May-26,ADANIPOWER,224.49,213.87,  0.04846281,  0.02737952,  0.02752517,  0.52586765,225.59,214.9,  0.04854639,  0.02732194,  0.02746892,  0.52479289,  0.02752517,  0.52586765
14-May-26,ALKEM,5576.5,5462.5,  0.02065478,  0.01516732,  0.01519976,  0.29039110,5564.5,5478.5,  0.01557579,  0.01514642,  0.01514846,  0.28941101,  0.01519976,  0.29039110
14-May-26,AMBER,8288.5,8300.5, -0.00144674,  0.02787075,  0.02780120,  0.53114113,8336.5,8338, -0.00017992,  0.02821893,  0.02814833,  0.53777313,  0.02814833,  0.53777313
14-May-26,AMBUJACEM,443.9,438.4,  0.01246758,  0.01897892,  0.01895194,  0.36207639,444.55,439.05,  0.01244923,  0.01917068,  0.01914307,  0.36572793,  0.01914307,  0.36572793
14-May-26,ANGELONE,303.7,298.15,  0.01844366,  0.02939700,  0.02935234,  0.56077569,305.15,298.75,  0.02119636,  0.02945118,  0.02941563,  0.56198492,  0.02941563,  0.56198492
14-May-26,APLAPOLLO,1890.1,1891.1, -0.00052893,  0.01904170,  0.01899417,  0.36288309,1894,1896.8, -0.00147726,  0.01881357,  0.01876676,  0.35853839,  0.01899417,  0.36288309
14-May-26,APOLLOHOSP,8119,8004.5,  0.01420311,  0.01308910,  0.01309473,  0.25017453,8149,8045,  0.01284444,  0.01285602,  0.01285607,  0.24561484,  0.01309473,  0.25017453
14-May-26,ASHOKLEY,154.34,153.21,  0.00734843,  0.02239798,  0.02234797,  0.42695732,155.01,153.84,  0.00757653,  0.02186705,  0.02181894,  0.41685027,  0.02234797,  0.42695732
14-May-26,ASIANPAINT,2622.3,2617.6,  0.00179393,  0.01560332,  0.01556466,  0.29736250,2625.6,2621.6,  0.00152462,  0.01553469,  0.01549629,  0.29605619,  0.01556466,  0.29736250
14-May-26,ASTRAL,1561.3,1544,  0.01114236,  0.01851003,  0.01848047,  0.35306883,1569.1,1551.9,  0.01102222,  0.01811358,  0.01808499,  0.34551329,  0.01848047,  0.35306883
14-May-26,AUBANK,1004.7,994.8,  0.00990256,  0.01979187,  0.01975479,  0.37741472,1005.8,997.6,  0.00818613,  0.01912141,  0.01908237,  0.36456820,  0.01975479,  0.37741472
14-May-26,AUROPHARMA,1510.8,1497.5,  0.00884226,  0.01737521,  0.01734305,  0.33133853,1515.9,1504.6,  0.00748224,  0.01740361,  0.01736823,  0.33181960,  0.01736823,  0.33181960
14-May-26,AXISBANK,1254.6,1255.7, -0.00087639,  0.01569217,  0.01565288,  0.29904785,1258.2,1260.7, -0.00198499,  0.01544551,  0.01540737,  0.29435730,  0.01565288,  0.29904785
14-May-26,BAJAJ-AUTO,10451,10262,  0.01824992,  0.01574725,  0.01576088,  0.30111123,10461.5,10312.5,  0.01434510,  0.01573977,  0.01573309,  0.30058032,  0.01576088,  0.30111123
14-May-26,BAJAJFINSV,1740.2,1728.9,  0.00651468,  0.01557601,  0.01554378,  0.29696354,1745.8,1732.7,  0.00753202,  0.01591688,  0.01588606,  0.30350275,  0.01588606,  0.30350275
14-May-26,BAJAJHLDNG,10357,10025,  0.03258065,  0.01979139,  0.01987584,  0.37972738,10359,10025,  0.03277373,  0.01985967,  0.01994514,  0.38105133,  0.01994514,  0.38105133
14-May-26,BAJFINANCE,912.05,896.15,  0.01758700,  0.01858243,  0.01857767,  0.35492596,916.3,899.95,  0.01800462,  0.01842310,  0.01842101,  0.35193299,  0.01857767,  0.35492596
14-May-26,BANDHANBNK,199.04,194.88,  0.02112183,  0.02468067,  0.02466424,  0.47120973,200.09,195.84,  0.02146927,  0.02467430,  0.02465929,  0.47111506,  0.02466424,  0.47120973
14-May-26,BANKBARODA,267.8,261.65,  0.02323270,  0.01890075,  0.01892492,  0.36156009,268.15,262.2,  0.02243895,  0.01904421,  0.01906264,  0.36419117,  0.01906264,  0.36419117
14-May-26,BANKEX,60961.32,60220.55,  0.01222591,  0.01141502,  0.01141910,  0.21816162,61088.7,60356.55,  0.01205743,  0.01156712,  0.01156970,  0.22103877,  0.01156970,  0.22103877
14-May-26,BANKINDIA,143.95,140.59,  0.02361816,  0.02205848,  0.02206663,  0.42158239,144.57,140.89,  0.02578438,  0.02214619,  0.02216578,  0.42347668,  0.02216578,  0.42347668
14-May-26,BANKNIFTY,54128.95,53456.15,  0.01250747,  0.01120341,  0.01121047,  0.21417568,54227.8,53613.8,  0.01138719,  0.01109243,  0.01109383,  0.21194739,  0.01121047,  0.21417568
14-May-26,BDL,1353.1,1360.3, -0.00530701,  0.02717160,  0.02710626,  0.51786437,1357.2,1358.2, -0.00073654,  0.02766316,  0.02759396,  0.52718181,  0.02759396,  0.52718181
14-May-26,BEL,428.85,428.3,  0.00128332,  0.01909528,  0.01904771,  0.36390590,430.55,428.75,  0.00418946,  0.01911812,  0.01907250,  0.36437960,  0.01907250,  0.36437960
14-May-26,BHARATFORG,1948.9,1945.9,  0.00154052,  0.02068937,  0.02063787,  0.39428592,1957.2,1955.4,  0.00092010,  0.02087552,  0.02082343,  0.39783109,  0.02082343,  0.39783109
14-May-26,BHARTIARTL,1883.5,1789.2,  0.05136316,  0.01305457,  0.01351883,  0.25827689,1884.9,1797.3,  0.04758923,  0.01262568,  0.01303597,  0.24905194,  0.01351883,  0.25827689
14-May-26,BHEL,413.15,403.85,  0.02276720,  0.02505743,  0.02504640,  0.47851089,415.45,405.7,  0.02374830,  0.02512330,  0.02511661,  0.47985213,  0.02511661,  0.47985213
14-May-26,BIOCON,419,417.6,  0.00334688,  0.01901947,  0.01897333,  0.36248499,420.55,418.6,  0.00464757,  0.01904553,  0.01900064,  0.36300673,  0.01900064,  0.36300673
14-May-26,BLUESTARCO,1667.1,1630.3,  0.02232154,  0.02218551,  0.02218626,  0.42386796,1675.9,1635.8,  0.02421835,  0.02244591,  0.02245515,  0.42900495,  0.02245515,  0.42900495
14-May-26,BOSCHLTD,36945,36315,  0.01719944,  0.01812548,  0.01812088,  0.34619901,37130,36455,  0.01834664,  0.01812589,  0.01812706,  0.34631696,  0.01812706,  0.34631696
14-May-26,BPCL,295,297.1, -0.00709343,  0.01957376,  0.01953115,  0.37314215,295.8,298.7, -0.00975617,  0.01965859,  0.01962151,  0.37486840,  0.01962151,  0.37486840
14-May-26,BRITANNIA,5372.5,5336,  0.00681704,  0.01336351,  0.01333865,  0.25483446,5393.5,5352.5,  0.00763078,  0.01359243,  0.01356899,  0.25923512,  0.01356899,  0.25923512
14-May-26,BSE,4037.6,3888.8,  0.03754983,  0.03009296,  0.03013490,  0.57572639,4045.7,3903.6,  0.03575538,  0.03005476,  0.03008597,  0.57479171,  0.03013490,  0.57572639
14-May-26,CAMS,785.85,784.95,  0.00114591,  0.02162616,  0.02157216,  0.41213555,789.1,786.75,  0.00298252,  0.02227200,  0.02221721,  0.42445914,  0.02221721,  0.42445914
14-May-26,CANBK,130.84,129.26,  0.01214932,  0.02017407,  0.02014182,  0.38480901,131.33,129.83,  0.01148734,  0.02024066,  0.02020622,  0.38603932,  0.02020622,  0.38603932
14-May-26,CDSL,1198.7,1186.2,  0.01048272,  0.02344270,  0.02339576,  0.44697539,1204.7,1190.2,  0.01210921,  0.02412353,  0.02407828,  0.46001485,  0.02407828,  0.46001485
14-May-26,CGPOWER,848.25,847.05,  0.00141568,  0.02197887,  0.02192407,  0.41885869,850.1,848.55,  0.00182498,  0.02197527,  0.02192059,  0.41879221,  0.02192407,  0.41885869
14-May-26,CHOLAFIN,1567.1,1574.6, -0.00477449,  0.02145426,  0.02140333,  0.40891004,1567.3,1579.4, -0.00769063,  0.02106952,  0.02102370,  0.40165730,  0.02140333,  0.40891004
14-May-26,CIPLA,1436.8,1327.6,  0.07904562,  0.01371330,  0.01477670,  0.28230842,1437.2,1332.9,  0.07533976,  0.01376707,  0.01472966,  0.28140967,  0.01477670,  0.28230842
14-May-26,COALINDIA,454.05,462.25, -0.01789855,  0.01597444,  0.01598455,  0.30538443,451.45,460.45, -0.01973965,  0.01615462,  0.01617447,  0.30901278,  0.01617447,  0.30901278
14-May-26,COCHINSHIP,1645.2,1653.1, -0.00479036,  0.02865170,  0.02858199,  0.54605815,1644.9,1656, -0.00672546,  0.02859156,  0.02852400,  0.54495032,  0.02858199,  0.54605815
14-May-26,COFORGE,1274.6,1297.2, -0.01757569,  0.02419416,  0.02416563,  0.46168373,1275.2,1299.5, -0.01887655,  0.02409749,  0.02407422,  0.45993737,  0.02416563,  0.46168373
14-May-26,COLPAL,2146.6,2134.5,  0.00565277,  0.01576436,  0.01572982,  0.30051778,2138.4,2129.2,  0.00431156,  0.01588563,  0.01584870,  0.30278893,  0.01584870,  0.30278893
14-May-26,CONCOR,522.95,519.85,  0.00594555,  0.01775230,  0.01771274,  0.33840136,525.1,521.15,  0.00755081,  0.01795567,  0.01791879,  0.34233800,  0.01791879,  0.34233800
14-May-26,CROMPTON,288.95,284.8,  0.01446648,  0.01864447,  0.01862601,  0.35584945,289.9,285.9,  0.01389394,  0.01882926,  0.01880778,  0.35932209,  0.01880778,  0.35932209
14-May-26,CUMMINSIND,5367,5212,  0.02930543,  0.01850418,  0.01857369,  0.35484989,5389,5236,  0.02880199,  0.01828742,  0.01835499,  0.35067157,  0.01857369,  0.35484989
14-May-26,DABUR,464.75,463.1,  0.00355661,  0.01475257,  0.01471785,  0.28118409,465.4,464.55,  0.00182806,  0.01475869,  0.01472235,  0.28127011,  0.01472235,  0.28127011
14-May-26,DALBHARAT,1764.7,1776.9, -0.00688957,  0.01831132,  0.01827186,  0.34908338,1772.6,1783, -0.00584994,  0.01853683,  0.01849495,  0.35334546,  0.01849495,  0.35334546
14-May-26,DELHIVERY,470.3,465.2,  0.01090337,  0.02024786,  0.02021199,  0.38614952,471.75,466.8,  0.01054828,  0.02034950,  0.02031221,  0.38806421,  0.02031221,  0.38806421
14-May-26,DIVISLAB,6921.5,6796,  0.01829831,  0.01523335,  0.01525037,  0.29135794,6935.5,6805,  0.01899551,  0.01509535,  0.01511737,  0.28881690,  0.01525037,  0.29135794
14-May-26,DIXON,11103,11124, -0.00188959,  0.02622770,  0.02616235,  0.49983094,11121,11166, -0.00403823,  0.02664314,  0.02657804,  0.50777275,  0.02657804,  0.50777275
14-May-26,DLF,583.25,574.15,  0.01572522,  0.01989567,  0.01987705,  0.37975055,583.8,576.2,  0.01310364,  0.01988417,  0.01985602,  0.37934878,  0.01987705,  0.37975055
14-May-26,DMART,4341.4,4334.7,  0.00154447,  0.01702954,  0.01698740,  0.32454389,4361.6,4353.8,  0.00178994,  0.01731303,  0.01727013,  0.32994533,  0.01727013,  0.32994533
14-May-26,DRREDDY,1303.6,1265.3,  0.02982042,  0.01494845,  0.01505951,  0.28771163,1302.7,1267.9,  0.02707705,  0.01491950,  0.01500476,  0.28666557,  0.01505951,  0.28771163
14-May-26,EICHERMOT,7034,6971.5,  0.00892512,  0.01738722,  0.01735531,  0.33157268,7047,6996.5,  0.00719197,  0.01711198,  0.01707672,  0.32625036,  0.01735531,  0.33157268
14-May-26,ETERNAL,245.82,237.82,  0.03308548,  0.02378776,  0.02384332,  0.45552600,246.07,238.86,  0.02973844,  0.02365701,  0.02369121,  0.45262001,  0.02384332,  0.45552600
14-May-26,EXIDEIND,349.7,349.3,  0.00114449,  0.01859219,  0.01854584,  0.35431778,350.45,350.6, -0.00042793,  0.01894918,  0.01890173,  0.36111713,  0.01890173,  0.36111713
14-May-26,FEDERALBNK,280.25,280.05,  0.00071390,  0.01660829,  0.01656694,  0.31651086,280.45,280.35,  0.00035663,  0.01634724,  0.01630627,  0.31153088,  0.01656694,  0.31651086
