Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
15-May-26,360ONE,1093.8,1102.1, -0.00755958,  0.02178819,  0.02174033,  0.41534848,1093,1107.2, -0.01290810,  0.02183279,  0.02179724,  0.41643572,  0.02179724,  0.41643572
15-May-26,ABB,6381,6429, -0.00749418,  0.02037645,  0.02033236,  0.38844917,6372,6430, -0.00906115,  0.02041139,  0.02037026,  0.38917324,  0.02037026,  0.38917324
15-May-26,ABCAPITAL,357.15,349.65,  0.02122321,  0.02139845,  0.02139749,  0.40879851,357.85,351.1,  0.01904282,  0.02159345,  0.02158151,  0.41231425,  0.02158151,  0.41231425
15-May-26,ADANIENSOL,1303.7,1319.1, -0.01174331,  0.02907275,  0.02901178,  0.55426929,1304.2,1320.4, -0.01234490,  0.02921992,  0.02915978,  0.55709688,  0.02915978,  0.55709688
15-May-26,ADANIENT,2716,2713,  0.00110518,  0.02562388,  0.02555980,  0.48831923,2719.7,2716.3,  0.00125092,  0.02613833,  0.02607301,  0.49812413,  0.02607301,  0.49812413
15-May-26,ADANIGREEN,1378.9,1414.9, -0.02577278,  0.03058230,  0.03056018,  0.58385147,1381.7,1422, -0.02874971,  0.03074731,  0.03073769,  0.58724279,  0.03073769,  0.58724279
15-May-26,ADANIPORTS,1795.1,1773.4,  0.01216212,  0.02107879,  0.02104372,  0.40203963,1792.5,1779.1,  0.00750368,  0.02101520,  0.02096934,  0.40061873,  0.02104372,  0.40203963
15-May-26,ADANIPOWER,221.33,224.49, -0.01417636,  0.02752517,  0.02747465,  0.52490254,221.87,225.59, -0.01662757,  0.02746892,  0.02742535,  0.52396053,  0.02747465,  0.52490254
15-May-26,ALKEM,5486,5576.5, -0.01636195,  0.01519976,  0.01520570,  0.29050456,5506,5564.5, -0.01056873,  0.01514846,  0.01512915,  0.28904195,  0.01520570,  0.29050456
15-May-26,AMBER,8476.5,8288.5,  0.02242862,  0.02780120,  0.02777698,  0.53067847,8508,8336.5,  0.02036343,  0.02814833,  0.02811479,  0.53713240,  0.02811479,  0.53713240
15-May-26,AMBUJACEM,433.75,443.9, -0.02313098,  0.01895194,  0.01897523,  0.36252124,434.25,444.55, -0.02344213,  0.01914307,  0.01916704,  0.36618576,  0.01916704,  0.36618576
15-May-26,ANGELONE,306.85,303.7,  0.01031866,  0.02935234,  0.02928796,  0.55954568,307.65,305.15,  0.00815931,  0.02941563,  0.02934768,  0.56068669,  0.02934768,  0.56068669
15-May-26,APLAPOLLO,1890.2,1890.1,  0.00005291,  0.01899417,  0.01894666,  0.36197553,1890.4,1894, -0.00190255,  0.01876676,  0.01872023,  0.35764956,  0.01894666,  0.36197553
15-May-26,APOLLOHOSP,8082.5,8119, -0.00450576,  0.01309473,  0.01306576,  0.24962105,8094.5,8149, -0.00671040,  0.01285607,  0.01283272,  0.24516880,  0.01306576,  0.24962105
15-May-26,ASHOKLEY,153.13,154.34, -0.00787073,  0.02234797,  0.02229894,  0.42602059,153.74,155.01, -0.00822677,  0.02181894,  0.02177219,  0.41595701,  0.02229894,  0.42602059
15-May-26,ASIANPAINT,2605.6,2622.3, -0.00638882,  0.01556466,  0.01553231,  0.29674445,2614,2625.6, -0.00442783,  0.01549629,  0.01546051,  0.29537263,  0.01553231,  0.29674445
15-May-26,ASTRAL,1550.8,1561.3, -0.00674788,  0.01848047,  0.01844045,  0.35230421,1556.8,1569.1, -0.00786977,  0.01808499,  0.01804839,  0.34481397,  0.01844045,  0.35230421
