"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","08-May-2026","21,296.87","14,548.74","6,748.13"
"FII/FPI","08-May-2026","15,083.49","19,194.09","-4,110.60"
