TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-07,2026-05-07,FO,NSE,STO,65626,,ABCAPITAL,,2026-06-30,2026-06-30,405.00,CE,ABCAPITAL26JUN405CE,0.00,0.00,0.00,5.15,0.00,5.15,369.00,11.35,0,0,0,0.00,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83384,,ABCAPITAL,,2026-06-30,2026-06-30,380.00,PE,ABCAPITAL26JUN380PE,0.00,0.00,0.00,84.25,0.00,84.25,369.00,27.25,0,0,0,0.00,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83335,,ABCAPITAL,,2026-05-26,2026-05-26,355.00,CE,ABCAPITAL26MAY355CE,24.00,25.10,20.50,20.85,20.50,21.40,369.00,20.85,328600,-27900,61,71357195.00,52,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,65629,,ABCAPITAL,,2026-06-30,2026-06-30,415.00,PE,ABCAPITAL26JUN415PE,0.00,0.00,0.00,76.50,0.00,76.50,369.00,51.10,0,0,0,0.00,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83381,,ABCAPITAL,,2026-06-30,2026-06-30,370.00,CE,ABCAPITAL26JUN370CE,22.20,22.20,20.00,20.00,20.00,18.20,369.00,20.00,55800,-3100,5,6067165.00,5,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,65743,,ABCAPITAL,,2026-07-28,2026-07-28,340.00,PE,ABCAPITAL26JUL340PE,0.00,0.00,0.00,25.70,0.00,25.70,369.00,13.55,0,0,0,0.00,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,65739,,ABCAPITAL,,2026-07-28,2026-07-28,320.00,PE,ABCAPITAL26JUL320PE,0.00,0.00,0.00,16.60,0.00,16.60,369.00,7.80,0,0,0,0.00,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83376,,ABCAPITAL,,2026-06-30,2026-06-30,340.00,PE,ABCAPITAL26JUN340PE,5.25,6.35,5.25,5.80,5.80,6.15,369.00,9.65,111600,43400,25,26802135.00,25,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83373,,ABCAPITAL,,2026-06-30,2026-06-30,330.00,CE,ABCAPITAL26JUN330CE,0.00,0.00,0.00,11.40,0.00,11.40,369.00,49.00,0,0,0,0.00,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,83367,,ABCAPITAL,,2026-06-30,2026-06-30,300.00,CE,ABCAPITAL26JUN300CE,0.00,0.00,0.00,21.75,0.00,21.75,369.00,73.80,0,0,0,0.00,0,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,76174,,ABCAPITAL,,2026-05-26,2026-05-26,420.00,CE,ABCAPITAL26MAY420CE,1.00,1.55,1.00,1.05,1.05,6.85,369.00,1.50,254200,254200,134,174943695.00,101,F1,3100,,,,,
2026-05-07,2026-05-07,FO,NSE,STO,76172,,ABCAPITAL,,2026-05-26,2026-05-26,410.00,CE,ABCAPITAL26MAY410CE,1.85,2.60,1.65,1.70,1.70,1.85,369.00,1.70,384400,93000,224,286183010.00,196,F1,3100,,,,,
