TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-13,2026-05-13,FO,NSE,STO,65829,,ADANIENSOL,,2026-07-28,2026-07-28,1440.00,PE,ADANIENSOL26JUL1440PE,0.00,0.00,0.00,149.90,0.00,149.90,1318.20,195.85,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65833,,ADANIENSOL,,2026-07-28,2026-07-28,1520.00,PE,ADANIENSOL26JUL1520PE,0.00,0.00,0.00,195.50,0.00,195.50,1318.20,251.20,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,41241,,ADANIENSOL,,2026-05-26,2026-05-26,1340.00,CE,ADANIENSOL26MAY1340CE,30.05,60.30,30.00,50.60,49.40,41.25,1318.20,50.60,251100,-14175,1258,1179227058.75,1100,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,38834,,ADANIENSOL,,2026-05-26,2026-05-26,1480.00,CE,ADANIENSOL26MAY1480CE,10.05,18.25,10.00,14.35,13.90,14.25,1318.20,14.35,147150,-42525,234,236208960.00,209,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,35593,,ADANIENSOL,,2026-06-30,2026-06-30,1100.00,CE,ADANIENSOL26JUN1100CE,0.00,0.00,0.00,277.85,0.00,277.85,1318.20,250.05,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76489,,ADANIENSOL,,2026-05-26,2026-05-26,1160.00,CE,ADANIENSOL26MAY1160CE,0.00,0.00,0.00,201.50,201.50,201.50,1318.20,167.40,148500,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76459,,ADANIENSOL,,2026-05-26,2026-05-26,940.00,CE,ADANIENSOL26MAY940CE,0.00,0.00,0.00,422.10,422.10,422.10,1318.20,380.20,2700,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76479,,ADANIENSOL,,2026-05-26,2026-05-26,1080.00,CE,ADANIENSOL26MAY1080CE,0.00,0.00,0.00,101.00,0.00,101.00,1318.20,241.80,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65776,,ADANIENSOL,,2026-06-30,2026-06-30,1220.00,CE,ADANIENSOL26JUN1220CE,0.00,0.00,0.00,267.80,0.00,267.80,1318.20,164.85,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65820,,ADANIENSOL,,2026-07-28,2026-07-28,1280.00,CE,ADANIENSOL26JUL1280CE,0.00,0.00,0.00,251.70,0.00,251.70,1318.20,159.85,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76462,,ADANIENSOL,,2026-05-26,2026-05-26,960.00,PE,ADANIENSOL26MAY960PE,1.10,1.10,1.10,1.10,1.10,0.95,1318.20,1.10,4050,0,1,648742.50,1,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,76486,,ADANIENSOL,,2026-05-26,2026-05-26,1120.00,PE,ADANIENSOL26MAY1120PE,16.20,16.20,6.40,7.10,7.10,10.10,1318.20,7.10,65475,0,48,36641261.25,46,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65790,,ADANIENSOL,,2026-06-30,2026-06-30,1500.00,CE,ADANIENSOL26JUN1500CE,28.85,47.95,28.85,47.15,47.15,39.20,1318.20,47.80,17550,0,12,12496578.75,11,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65835,,ADANIENSOL,,2026-07-28,2026-07-28,1560.00,PE,ADANIENSOL26JUL1560PE,0.00,0.00,0.00,220.45,0.00,220.45,1318.20,281.05,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,65823,,ADANIENSOL,,2026-07-28,2026-07-28,1320.00,PE,ADANIENSOL26JUL1320PE,0.00,0.00,0.00,93.40,0.00,93.40,1318.20,124.80,0,0,0,0.00,0,F1,675,,,,,
2026-05-13,2026-05-13,FO,NSE,STO,58524,,ADANIENSOL,,2026-05-26,2026-05-26,1580.00,CE,ADANIENSOL26MAY1580CE,5.50,8.05,5.50,5.85,5.80,6.65,1318.20,5.85,39150,-1350,64,68545710.00,63,F1,675,,,,,
