"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","11-May-2026","21,626.43","15,686.78","5,939.65"
"FII/FPI","11-May-2026","12,813.74","21,251.30","-8,437.56"
