TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-06,2026-05-06,FO,NSE,STO,65623,,ABCAPITAL,,2026-06-30,2026-06-30,385.00,PE,ABCAPITAL26JUN385PE,0.00,0.00,0.00,51.50,0.00,51.50,369.30,30.30,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65625,,ABCAPITAL,,2026-06-30,2026-06-30,395.00,PE,ABCAPITAL26JUN395PE,0.00,0.00,0.00,59.45,0.00,59.45,369.30,36.65,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83369,,ABCAPITAL,,2026-06-30,2026-06-30,310.00,CE,ABCAPITAL26JUN310CE,0.00,0.00,0.00,17.70,0.00,17.70,369.30,65.50,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83377,,ABCAPITAL,,2026-06-30,2026-06-30,350.00,CE,ABCAPITAL26JUN350CE,29.35,29.35,29.35,29.35,29.35,25.40,369.30,35.75,37200,3100,1,1175985.00,1,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,35360,,ABCAPITAL,,2026-06-30,2026-06-30,390.00,CE,ABCAPITAL26JUN390CE,7.25,7.25,7.25,7.25,7.25,3.75,369.30,16.40,3100,3100,1,1231475.00,1,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83237,,ABCAPITAL,,2026-05-26,2026-05-26,275.00,PE,ABCAPITAL26MAY275PE,0.10,0.10,0.10,0.10,0.10,0.25,369.30,0.10,86800,-12400,28,23878680.00,13,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76071,,ABCAPITAL,,2026-05-26,2026-05-26,330.00,PE,ABCAPITAL26MAY330PE,1.60,1.85,1.20,1.30,1.20,2.50,369.30,1.30,548700,-86800,462,474859240.00,377,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76077,,ABCAPITAL,,2026-05-26,2026-05-26,360.00,PE,ABCAPITAL26MAY360PE,9.10,9.25,6.35,7.15,6.40,11.35,369.30,7.15,778100,-254200,1303,1486353900.00,1199,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76171,,ABCAPITAL,,2026-05-26,2026-05-26,400.00,PE,ABCAPITAL26MAY400PE,34.00,36.00,31.00,31.80,31.80,40.80,369.30,33.85,55800,27900,33,44331395.00,33,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76173,,ABCAPITAL,,2026-05-26,2026-05-26,410.00,PE,ABCAPITAL26MAY410PE,0.00,0.00,0.00,62.50,0.00,62.50,369.30,42.20,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65599,,ABCAPITAL,,2026-06-30,2026-06-30,315.00,PE,ABCAPITAL26JUN315PE,0.00,0.00,0.00,11.20,0.00,11.20,369.30,4.00,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83380,,ABCAPITAL,,2026-06-30,2026-06-30,360.00,PE,ABCAPITAL26JUN360PE,14.00,14.40,12.40,12.80,12.80,16.15,369.30,12.80,58900,27900,16,18525910.00,14,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65603,,ABCAPITAL,,2026-06-30,2026-06-30,335.00,PE,ABCAPITAL26JUN335PE,0.00,0.00,0.00,13.45,13.45,13.45,369.30,8.35,3100,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65601,,ABCAPITAL,,2026-06-30,2026-06-30,325.00,PE,ABCAPITAL26JUN325PE,0.00,0.00,0.00,5.00,5.00,5.00,369.30,5.90,3100,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83372,,ABCAPITAL,,2026-06-30,2026-06-30,320.00,PE,ABCAPITAL26JUN320PE,0.00,0.00,0.00,36.25,0.00,36.25,369.30,4.90,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76157,,ABCAPITAL,,2026-05-26,2026-05-26,390.00,PE,ABCAPITAL26MAY390PE,28.05,28.05,23.00,23.70,23.00,31.80,369.30,23.70,49600,18600,39,50231935.00,33,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76072,,ABCAPITAL,,2026-05-26,2026-05-26,340.00,CE,ABCAPITAL26MAY340CE,31.80,34.80,29.30,33.70,34.00,26.00,369.30,33.70,527000,-6200,156,180154485.00,112,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83337,,ABCAPITAL,,2026-05-26,2026-05-26,365.00,CE,ABCAPITAL26MAY365CE,12.40,17.00,12.40,15.00,15.35,10.80,369.30,15.00,610700,-9300,1117,1313144655.00,1064,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65614,,ABCAPITAL,,2026-06-30,2026-06-30,345.00,CE,ABCAPITAL26JUN345CE,0.00,0.00,0.00,21.35,0.00,21.35,369.30,38.95,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65746,,ABCAPITAL,,2026-07-28,2026-07-28,360.00,CE,ABCAPITAL26JUL360CE,0.00,0.00,0.00,20.55,0.00,20.55,369.30,35.95,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65754,,ABCAPITAL,,2026-07-28,2026-07-28,390.00,CE,ABCAPITAL26JUL390CE,0.00,0.00,0.00,11.80,0.00,11.80,369.30,22.35,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65759,,ABCAPITAL,,2026-07-28,2026-07-28,410.00,PE,ABCAPITAL26JUL410PE,0.00,0.00,0.00,73.75,0.00,73.75,369.30,50.65,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,76063,,ABCAPITAL,,2026-05-26,2026-05-26,290.00,PE,ABCAPITAL26MAY290PE,0.40,0.40,0.30,0.30,0.30,0.40,369.30,0.30,114700,0,6,5400510.00,5,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,83239,,ABCAPITAL,,2026-05-26,2026-05-26,285.00,PE,ABCAPITAL26MAY285PE,0.00,0.00,0.00,1.05,1.05,1.05,369.30,0.05,43400,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65742,,ABCAPITAL,,2026-07-28,2026-07-28,340.00,CE,ABCAPITAL26JUL340CE,0.00,0.00,0.00,28.90,0.00,28.90,369.30,47.75,0,0,0,0.00,0,F1,3100,,,,,
2026-05-06,2026-05-06,FO,NSE,STO,65626,,ABCAPITAL,,2026-06-30,2026-06-30,405.00,CE,ABCAPITAL26JUN405CE,0.00,0.00,0.00,5.15,0.00,5.15,369.30,11.70,0,0,0,0.00,0,F1,3100,,,,,
