"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","05-May-2026","16,234.31","13,631.69","2,602.62"
"FII/FPI","05-May-2026","10,392.91","14,014.49","-3,621.58"
