Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
05-May-26,360ONE,1070.7,1066.5,  0.00393038,  0.02194174,  0.02188858,  0.41818078,1076.7,1072,  0.00437475,  0.02197319,  0.02192035,  0.41878763,  0.02192035,  0.41878763
05-May-26,ABB,7328,7236.5,  0.01256496,  0.01946995,  0.01944155,  0.37143035,7327.5,7263.5,  0.00877259,  0.01945250,  0.01941373,  0.37089873,  0.01944155,  0.37143035
05-May-26,ABCAPITAL,360.85,345.9,  0.04231264,  0.02125948,  0.02141639,  0.40915964,361.65,346.5,  0.04279407,  0.02142427,  0.02158383,  0.41235847,  0.02158383,  0.41235847
05-May-26,ADANIENSOL,1409.6,1398.4,  0.00797725,  0.02935878,  0.02929076,  0.55959914,1418.1,1406.9,  0.00792925,  0.02951295,  0.02944434,  0.56253338,  0.02944434,  0.56253338
05-May-26,ADANIENT,2462.1,2485.7, -0.00953967,  0.02503647,  0.02498281,  0.47729596,2473.2,2490.7, -0.00705094,  0.02562974,  0.02557038,  0.48852137,  0.02557038,  0.48852137
05-May-26,ADANIGREEN,1331.4,1290.7,  0.03104631,  0.03048999,  0.03049281,  0.58256423,1336.9,1298.1,  0.02945184,  0.03070180,  0.03069567,  0.58643992,  0.03069567,  0.58643992
05-May-26,ADANIPORTS,1725,1742.6, -0.01015120,  0.02102467,  0.02098440,  0.40090639,1730.8,1748, -0.00988855,  0.02100548,  0.02096456,  0.40052735,  0.02098440,  0.40090639
05-May-26,ADANIPOWER,229.96,227.31,  0.01159066,  0.02744058,  0.02738424,  0.52317523,230.57,228.01,  0.01116502,  0.02739986,  0.02734263,  0.52238026,  0.02738424,  0.52317523
05-May-26,ALKEM,5403,5360.5,  0.00789710,  0.01522420,  0.01519648,  0.29032829,5424.5,5350,  0.01382917,  0.01520911,  0.01520262,  0.29044563,  0.01520262,  0.29044563
05-May-26,AMBER,8204,8007,  0.02430568,  0.02769635,  0.02768047,  0.52883462,8248,8051,  0.02417444,  0.02802445,  0.02800652,  0.53506382,  0.02800652,  0.53506382
05-May-26,AMBUJACEM,433.1,445.35, -0.02789184,  0.01884355,  0.01889959,  0.36107610,435.3,447.35, -0.02730584,  0.01903410,  0.01908446,  0.36460806,  0.01908446,  0.36460806
05-May-26,ANGELONE,314.4,307.7,  0.02154078,  0.02947251,  0.02943819,  0.56241578,315.9,309.5,  0.02046762,  0.02952575,  0.02948738,  0.56335566,  0.02948738,  0.56335566
05-May-26,APLAPOLLO,1870.6,1873, -0.00128219,  0.01898711,  0.01893979,  0.36184419,1881.6,1884.3, -0.00143392,  0.01878091,  0.01873410,  0.35791457,  0.01893979,  0.36184419
05-May-26,APOLLOHOSP,7772,7737.5,  0.00444889,  0.01308005,  0.01305119,  0.24934260,7789.5,7780,  0.00122033,  0.01286266,  0.01283083,  0.24513266,  0.01305119,  0.24934260
05-May-26,ASHOKLEY,160.25,160.77, -0.00323968,  0.02211489,  0.02206076,  0.42147023,159.91,160.62, -0.00443017,  0.02144978,  0.02139831,  0.40881414,  0.02206076,  0.42147023
