TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-11,2026-05-11,FO,NSE,STO,65614,,ABCAPITAL,,2026-06-30,2026-06-30,345.00,CE,ABCAPITAL26JUN345CE,0.00,0.00,0.00,21.35,0.00,21.35,352.95,26.90,0,0,0,0.00,0,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,83386,,ABCAPITAL,,2026-06-30,2026-06-30,400.00,PE,ABCAPITAL26JUN400PE,0.00,0.00,0.00,32.70,32.70,32.70,352.95,50.75,12400,0,0,0.00,0,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,35361,,ABCAPITAL,,2026-06-30,2026-06-30,390.00,PE,ABCAPITAL26JUN390PE,0.00,0.00,0.00,83.95,0.00,83.95,352.95,43.10,0,0,0,0.00,0,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,65619,,ABCAPITAL,,2026-06-30,2026-06-30,365.00,PE,ABCAPITAL26JUN365PE,0.00,0.00,0.00,13.85,13.85,13.85,352.95,26.30,3100,0,0,0.00,0,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,83334,,ABCAPITAL,,2026-05-26,2026-05-26,345.00,PE,ABCAPITAL26MAY345PE,5.50,7.35,4.60,6.35,6.05,3.95,352.95,6.35,551800,-55800,214,232872620.00,202,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,35358,,ABCAPITAL,,2026-05-26,2026-05-26,395.00,CE,ABCAPITAL26MAY395CE,1.80,1.80,1.25,1.30,1.25,2.45,352.95,1.30,210800,37200,62,76208850.00,51,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,65753,,ABCAPITAL,,2026-07-28,2026-07-28,380.00,PE,ABCAPITAL26JUL380PE,0.00,0.00,0.00,50.50,0.00,50.50,352.95,39.75,0,0,0,0.00,0,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,76072,,ABCAPITAL,,2026-05-26,2026-05-26,340.00,CE,ABCAPITAL26MAY340CE,19.60,23.00,18.40,19.00,18.95,29.00,352.95,19.00,341000,-71300,90,100404970.00,71,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,65749,,ABCAPITAL,,2026-07-28,2026-07-28,360.00,PE,ABCAPITAL26JUL360PE,0.00,0.00,0.00,37.10,0.00,37.10,352.95,27.75,0,0,0,0.00,0,F1,3100,,,,,
2026-05-11,2026-05-11,FO,NSE,STO,35359,,ABCAPITAL,,2026-05-26,2026-05-26,395.00,PE,ABCAPITAL26MAY395PE,0.00,0.00,0.00,88.90,0.00,88.90,352.95,42.45,0,0,0,0.00,0,F1,3100,,,,,
