"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","04-May-2026","19,516.11","14,751.95","4,764.16"
"FII/FPI","04-May-2026","19,660.47","16,824.85","2,835.62"
