"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","22-May-2026","18,436.72","12,433.19","6,003.53"
"FII/FPI","22-May-2026","10,972.76","15,413.23","-4,440.47"
