TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-18,2026-05-18,FO,NSE,STO,65601,,ABCAPITAL,,2026-06-30,2026-06-30,325.00,PE,ABCAPITAL26JUN325PE,0.00,0.00,0.00,6.95,6.95,6.95,350.10,8.15,3100,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,76072,,ABCAPITAL,,2026-05-26,2026-05-26,340.00,CE,ABCAPITAL26MAY340CE,17.45,17.45,13.60,14.40,14.25,20.00,350.10,14.40,403000,-34100,62,68270990.00,61,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,83337,,ABCAPITAL,,2026-05-26,2026-05-26,365.00,CE,ABCAPITAL26MAY365CE,3.60,4.10,2.45,2.80,2.45,5.85,350.10,2.80,892800,46500,373,425864670.00,311,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65614,,ABCAPITAL,,2026-06-30,2026-06-30,345.00,CE,ABCAPITAL26JUN345CE,0.00,0.00,0.00,21.35,21.35,21.35,350.10,23.45,3100,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65746,,ABCAPITAL,,2026-07-28,2026-07-28,360.00,CE,ABCAPITAL26JUL360CE,28.00,28.00,19.60,19.60,19.60,23.00,350.10,22.70,6200,0,2,2379560.00,2,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65754,,ABCAPITAL,,2026-07-28,2026-07-28,390.00,CE,ABCAPITAL26JUL390CE,0.00,0.00,0.00,11.80,0.00,11.80,350.10,12.50,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,76157,,ABCAPITAL,,2026-05-26,2026-05-26,390.00,PE,ABCAPITAL26MAY390PE,0.00,0.00,0.00,33.40,33.40,33.40,350.10,39.75,46500,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65753,,ABCAPITAL,,2026-07-28,2026-07-28,380.00,PE,ABCAPITAL26JUL380PE,0.00,0.00,0.00,50.50,0.00,50.50,350.10,40.60,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65741,,ABCAPITAL,,2026-07-28,2026-07-28,330.00,PE,ABCAPITAL26JUL330PE,0.00,0.00,0.00,20.85,0.00,20.85,350.10,14.10,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65625,,ABCAPITAL,,2026-06-30,2026-06-30,395.00,PE,ABCAPITAL26JUN395PE,0.00,0.00,0.00,59.45,0.00,59.45,350.10,48.15,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,83382,,ABCAPITAL,,2026-06-30,2026-06-30,370.00,PE,ABCAPITAL26JUN370PE,25.25,25.35,24.75,24.75,24.75,19.00,350.10,29.80,40300,18600,9,11022515.00,6,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65617,,ABCAPITAL,,2026-06-30,2026-06-30,355.00,PE,ABCAPITAL26JUN355PE,0.00,0.00,0.00,30.45,0.00,30.45,350.10,20.80,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65603,,ABCAPITAL,,2026-06-30,2026-06-30,335.00,PE,ABCAPITAL26JUN335PE,0.00,0.00,0.00,8.10,8.10,8.10,350.10,11.55,27900,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,83372,,ABCAPITAL,,2026-06-30,2026-06-30,320.00,PE,ABCAPITAL26JUN320PE,4.20,4.20,4.15,4.20,4.15,3.30,350.10,4.20,24800,0,2,2009885.00,2,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,83385,,ABCAPITAL,,2026-06-30,2026-06-30,400.00,CE,ABCAPITAL26JUN400CE,3.35,3.45,2.80,3.05,3.00,4.40,350.10,3.05,337900,27900,48,59987790.00,45,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,83383,,ABCAPITAL,,2026-06-30,2026-06-30,380.00,CE,ABCAPITAL26JUN380CE,0.00,0.00,0.00,9.30,9.30,9.30,350.10,9.60,114700,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,41177,,ABCAPITAL,,2026-05-26,2026-05-26,405.00,CE,ABCAPITAL26MAY405CE,0.45,0.45,0.25,0.30,0.25,0.60,350.10,0.30,316200,52700,47,59054380.00,39,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,76065,,ABCAPITAL,,2026-05-26,2026-05-26,300.00,PE,ABCAPITAL26MAY300PE,0.35,0.35,0.20,0.25,0.25,0.25,350.10,0.25,1519000,6200,31,28856040.00,22,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,76060,,ABCAPITAL,,2026-05-26,2026-05-26,280.00,CE,ABCAPITAL26MAY280CE,0.00,0.00,0.00,75.65,75.65,75.65,350.10,70.50,12400,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,83250,,ABCAPITAL,,2026-05-26,2026-05-26,315.00,CE,ABCAPITAL26MAY315CE,0.00,0.00,0.00,43.00,43.00,43.00,350.10,35.85,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,76078,,ABCAPITAL,,2026-05-26,2026-05-26,370.00,CE,ABCAPITAL26MAY370CE,2.90,3.00,1.75,1.95,1.80,4.20,350.10,1.95,1435300,102300,724,835552765.00,535,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,35356,,ABCAPITAL,,2026-05-26,2026-05-26,385.00,CE,ABCAPITAL26MAY385CE,1.10,1.10,0.65,0.70,0.65,1.65,350.10,0.70,716100,-130200,168,200937505.00,126,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65755,,ABCAPITAL,,2026-07-28,2026-07-28,390.00,PE,ABCAPITAL26JUL390PE,0.00,0.00,0.00,57.90,0.00,57.90,350.10,47.60,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65751,,ABCAPITAL,,2026-07-28,2026-07-28,370.00,PE,ABCAPITAL26JUL370PE,0.00,0.00,0.00,43.60,0.00,43.60,350.10,34.10,0,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65745,,ABCAPITAL,,2026-07-28,2026-07-28,350.00,PE,ABCAPITAL26JUL350PE,0.00,0.00,0.00,20.00,20.00,20.00,350.10,22.85,15500,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,65615,,ABCAPITAL,,2026-06-30,2026-06-30,345.00,PE,ABCAPITAL26JUN345PE,0.00,0.00,0.00,14.10,14.10,14.10,350.10,15.80,3100,0,0,0.00,0,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,83374,,ABCAPITAL,,2026-06-30,2026-06-30,330.00,PE,ABCAPITAL26JUN330PE,6.00,6.50,5.70,6.30,6.30,5.40,350.10,6.30,40300,9300,13,13539405.00,12,F1,3100,,,,,
2026-05-18,2026-05-18,FO,NSE,STO,35357,,ABCAPITAL,,2026-05-26,2026-05-26,385.00,PE,ABCAPITAL26MAY385PE,0.00,0.00,0.00,19.95,19.80,19.95,350.10,35.00,31000,0,0,0.00,0,F1,3100,,,,,
