TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-15,2026-05-15,FO,NSE,STF,61097,,ABCAPITAL,,2026-07-28,2026-07-28,,,ABCAPITAL26JULFUT,360.00,368.00,360.00,362.10,362.10,356.65,357.15,361.80,124000,-15500,13,14691210.00,13,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,65743,,ABCAPITAL,,2026-07-28,2026-07-28,340.00,PE,ABCAPITAL26JUL340PE,0.00,0.00,0.00,25.70,0.00,25.70,357.15,16.10,0,0,0,0.00,0,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,65739,,ABCAPITAL,,2026-07-28,2026-07-28,320.00,PE,ABCAPITAL26JUL320PE,0.00,0.00,0.00,16.60,0.00,16.60,357.15,9.35,0,0,0,0.00,0,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,83376,,ABCAPITAL,,2026-06-30,2026-06-30,340.00,PE,ABCAPITAL26JUN340PE,7.80,8.00,6.95,7.75,7.75,10.25,357.15,11.70,198400,-6200,8,8620325.00,8,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,65620,,ABCAPITAL,,2026-06-30,2026-06-30,375.00,CE,ABCAPITAL26JUN375CE,0.00,0.00,0.00,10.95,0.00,10.95,357.15,14.50,0,0,0,0.00,0,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,83373,,ABCAPITAL,,2026-06-30,2026-06-30,330.00,CE,ABCAPITAL26JUN330CE,0.00,0.00,0.00,28.50,28.50,28.50,357.15,38.20,15500,0,0,0.00,0,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,65740,,ABCAPITAL,,2026-07-28,2026-07-28,330.00,CE,ABCAPITAL26JUL330CE,0.00,0.00,0.00,33.90,0.00,33.90,357.15,43.80,0,0,0,0.00,0,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,76056,,ABCAPITAL,,2026-05-26,2026-05-26,260.00,CE,ABCAPITAL26MAY260CE,0.00,0.00,0.00,86.40,86.40,86.40,357.15,97.65,6200,0,0,0.00,0,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,65737,,ABCAPITAL,,2026-07-28,2026-07-28,310.00,PE,ABCAPITAL26JUL310PE,0.00,0.00,0.00,12.90,0.00,12.90,357.15,6.85,0,0,0,0.00,0,F1,3100,,,,,
2026-05-15,2026-05-15,FO,NSE,STO,83378,,ABCAPITAL,,2026-06-30,2026-06-30,350.00,PE,ABCAPITAL26JUN350PE,13.30,13.30,10.00,11.20,11.20,13.30,357.15,15.80,145700,15500,18,20150775.00,17,F1,3100,,,,,
