Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
18-May-26,360ONE,1104.9,1093.8,  0.01009696,  0.02174033,  0.02169762,  0.41453237,1105.4,1093,  0.01128105,  0.02179724,  0.02175731,  0.41567290,  0.02175731,  0.41567290
18-May-26,ABB,6413.5,6381,  0.00508032,  0.02033236,  0.02028453,  0.38753535,6392,6372,  0.00313382,  0.02037026,  0.02032054,  0.38822338,  0.02032054,  0.38822338
18-May-26,ABCAPITAL,350.1,357.15, -0.01993703,  0.02139749,  0.02139038,  0.40866256,351.2,357.85, -0.01875804,  0.02158151,  0.02156828,  0.41206133,  0.02156828,  0.41206133
18-May-26,ADANIENSOL,1328.3,1303.7,  0.01869355,  0.02901178,  0.02896927,  0.55345721,1328.4,1304.2,  0.01838538,  0.02915978,  0.02911578,  0.55625620,  0.02911578,  0.55625620
18-May-26,ADANIENT,2689.8,2716, -0.00969337,  0.02555980,  0.02550497,  0.48727170,2692.1,2719.7, -0.01020002,  0.02607301,  0.02601771,  0.49706764,  0.02601771,  0.49706764
18-May-26,ADANIGREEN,1369,1378.9, -0.00720553,  0.03056018,  0.03048787,  0.58246987,1371.9,1381.7, -0.00711798,  0.03073769,  0.03066495,  0.58585308,  0.03066495,  0.58585308
18-May-26,ADANIPORTS,1787.7,1795.1, -0.00413085,  0.02104372,  0.02099312,  0.40107301,1785.4,1792.5, -0.00396881,  0.02096934,  0.02091866,  0.39965038,  0.02099312,  0.40107301
18-May-26,ADANIPOWER,219.3,221.33, -0.00921415,  0.02747465,  0.02741369,  0.52373774,219.81,221.87, -0.00932809,  0.02742535,  0.02736465,  0.52280099,  0.02741369,  0.52373774
18-May-26,ALKEM,5468,5486, -0.00328647,  0.01520570,  0.01516931,  0.28980925,5458,5506, -0.00875598,  0.01512915,  0.01510394,  0.28856029,  0.01516931,  0.28980925
18-May-26,AMBER,7153,8476.5, -0.16976578,  0.02777698,  0.03019610,  0.57689563,7149.5,8508, -0.17396447,  0.02811479,  0.03062362,  0.58506340,  0.03062362,  0.58506340
18-May-26,AMBUJACEM,430.15,433.75, -0.00833435,  0.01897523,  0.01893692,  0.36178938,430.1,434.25, -0.00960267,  0.01916704,  0.01913124,  0.36550173,  0.01913124,  0.36550173
18-May-26,ANGELONE,303.95,306.85, -0.00949581,  0.02928796,  0.02922229,  0.55829097,304.85,307.65, -0.00914292,  0.02934768,  0.02928142,  0.55942073,  0.02928142,  0.55942073
18-May-26,APLAPOLLO,1876,1890.2, -0.00754079,  0.01894666,  0.01890686,  0.36121508,1879.7,1890.4, -0.00567626,  0.01872023,  0.01867776,  0.35683817,  0.01890686,  0.36121508
18-May-26,APOLLOHOSP,8020.5,8082.5, -0.00770047,  0.01306576,  0.01304427,  0.24921040,8043.5,8094.5, -0.00632051,  0.01283272,  0.01280845,  0.24470506,  0.01304427,  0.24921040
18-May-26,ASHOKLEY,151.14,153.13, -0.01308067,  0.02229894,  0.02226228,  0.42532035,151.72,153.74, -0.01322615,  0.02177219,  0.02173786,  0.41530121,  0.02226228,  0.42532035
18-May-26,ASIANPAINT,2614,2605.6,  0.00321864,  0.01553231,  0.01549502,  0.29603188,2611.4,2614, -0.00099514,  0.01546051,  0.01542206,  0.29463796,  0.01549502,  0.29603188
18-May-26,ASTRAL,1545.7,1550.8, -0.00329404,  0.01844045,  0.01839576,  0.35145051,1547.3,1556.8, -0.00612096,  0.01804839,  0.01800829,  0.34404796,  0.01839576,  0.35145051
18-May-26,AUBANK,979,990.5, -0.01167822,  0.01973099,  0.01969887,  0.37634632,981,992.5, -0.01165455,  0.01905795,  0.01902822,  0.36353360,  0.01969887,  0.37634632
18-May-26,AUROPHARMA,1500.5,1511.8, -0.00750261,  0.01729966,  0.01726456,  0.32983896,1504.1,1512, -0.00523857,  0.01732584,  0.01728630,  0.33025438,  0.01728630,  0.33025438
18-May-26,AXISBANK,1237.9,1244.8, -0.00555848,  0.01562346,  0.01558923,  0.29783179,1238.2,1246.7, -0.00684135,  0.01538261,  0.01535158,  0.29329147,  0.01558923,  0.29783179
18-May-26,BAJAJ-AUTO,10198.5,10377.5, -0.01739935,  0.01572949,  0.01573838,  0.30068132,10224,10390.5, -0.01615403,  0.01570109,  0.01570325,  0.30001023,  0.01573838,  0.30068132
18-May-26,BAJAJFINSV,1753.1,1728.1,  0.01436311,  0.01551275,  0.01550736,  0.29626772,1751.9,1728.6,  0.01338908,  0.01586185,  0.01585050,  0.30282337,  0.01585050,  0.30282337
18-May-26,BAJAJHLDNG,10367,10308,  0.00570739,  0.01982895,  0.01978350,  0.37796326,10363,10315,  0.00464262,  0.01989753,  0.01985040,  0.37924128,  0.01985040,  0.37924128
18-May-26,BAJFINANCE,921.1,910.45,  0.01162963,  0.01853159,  0.01850349,  0.35350868,919.95,910.15,  0.01070990,  0.01838097,  0.01835059,  0.35058756,  0.01850349,  0.35350868
18-May-26,BANDHANBNK,190.34,194.46, -0.02141454,  0.02465741,  0.02464230,  0.47079049,190.45,194.73, -0.02222429,  0.02467238,  0.02466082,  0.47114427,  0.02466082,  0.47114427
18-May-26,BANKBARODA,260.05,261.4, -0.00517788,  0.01895481,  0.01891078,  0.36128997,260,261.9, -0.00728112,  0.01908780,  0.01904687,  0.36389000,  0.01904687,  0.36389000
18-May-26,BANKEX,60297.97,60489.34, -0.00316871,  0.01140395,  0.01137761,  0.21736889,60385.35,60606.2, -0.00365067,  0.01155444,  0.01152862,  0.22025398,  0.01152862,  0.22025398
18-May-26,BANKINDIA,138.22,142.26, -0.02880975,  0.02202732,  0.02206635,  0.42157711,138.33,142.31, -0.02836564,  0.02213831,  0.02217369,  0.42362776,  0.02217369,  0.42362776
18-May-26,BANKNIFTY,53537,53710.35, -0.00323272,  0.01119567,  0.01116985,  0.21339969,53702.8,53842.4, -0.00259612,  0.01107741,  0.01105125,  0.21113385,  0.01116985,  0.21339969
18-May-26,BDL,1309.2,1325.5, -0.01237348,  0.02707766,  0.02702405,  0.51629383,1307.4,1322.7, -0.01163467,  0.02758510,  0.02752839,  0.52592911,  0.02752839,  0.52592911
18-May-26,BEL,426.6,423.65,  0.00693916,  0.01901973,  0.01897846,  0.36258300,426.45,424.85,  0.00375896,  0.01904808,  0.01900228,  0.36303798,  0.01900228,  0.36303798
18-May-26,BHARATFORG,1891,1913.1, -0.01161917,  0.02062787,  0.02059266,  0.39342214,1892,1921.1, -0.01526347,  0.02081309,  0.02078891,  0.39717165,  0.02078891,  0.39717165
18-May-26,BHARTIARTL,1938.1,1905.4,  0.01701615,  0.01350979,  0.01352942,  0.25847920,1936.4,1904.3,  0.01671609,  0.01302362,  0.01304450,  0.24921490,  0.01352942,  0.25847920
18-May-26,BHEL,395.25,398.3, -0.00768701,  0.02511739,  0.02506035,  0.47877728,395.55,399.35, -0.00956102,  0.02520906,  0.02515511,  0.48058770,  0.02515511,  0.48058770
18-May-26,BIOCON,426.25,430.1, -0.00899171,  0.01901600,  0.01897910,  0.36259518,426.7,431.4, -0.01095454,  0.01903836,  0.01900652,  0.36311901,  0.01900652,  0.36311901
18-May-26,BLUESTARCO,1633.8,1658, -0.01470347,  0.02213411,  0.02210320,  0.42228100,1638.8,1662.7, -0.01447852,  0.02240584,  0.02237315,  0.42743851,  0.02237315,  0.42743851
18-May-26,BOSCHLTD,37155,37740, -0.01562219,  0.01813821,  0.01812637,  0.34630383,37240,37880, -0.01703982,  0.01813689,  0.01813166,  0.34640484,  0.01813166,  0.34640484
18-May-26,BPCL,280.8,284.45, -0.01291482,  0.01965182,  0.01962379,  0.37491192,280.6,284.95, -0.01538356,  0.01974987,  0.01973051,  0.37695084,  0.01973051,  0.37695084
18-May-26,BRITANNIA,5380.5,5406, -0.00472814,  0.01331254,  0.01328329,  0.25377682,5361.5,5397, -0.00659946,  0.01353520,  0.01350932,  0.25809522,  0.01350932,  0.25809522
18-May-26,BSE,4120.7,4000.6,  0.02957870,  0.03006648,  0.03006401,  0.57437206,4112,3995.8,  0.02866572,  0.03002356,  0.03001685,  0.57347120,  0.03006401,  0.57437206
18-May-26,CAMS,772.7,784, -0.01451815,  0.02151885,  0.02148950,  0.41055631,774.2,786.65, -0.01595318,  0.02216259,  0.02213587,  0.42290515,  0.02213587,  0.42290515
