"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","18-May-2026","16,844.94","14,162.82","2,682.12"
"FII/FPI","18-May-2026","17,222.18","14,408.49","2,813.69"
