"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","15-May-2026","14,961.88","16,920.70","-1,958.82"
"FII/FPI","15-May-2026","16,299.60","14,970.43","1,329.17"
