Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
22-May-26,LAURUSLABS,1343.5,1351, -0.00556691,  0.02059629,  0.02054857,  0.39257996,1345,1350.8, -0.00430300,  0.02045386,  0.02040492,  0.38983546,  0.02054857,  0.39257996
22-May-26,LICHSGFIN,539.2,537.95,  0.00232094,  0.01783507,  0.01779119,  0.33990023,539.35,539.15,  0.00037089,  0.01802405,  0.01797905,  0.34348932,  0.01797905,  0.34348932
22-May-26,LICI,812.95,800.2,  0.01580791,  0.01684326,  0.01683838,  0.32169675,816.6,803.55,  0.01610997,  0.01704939,  0.01704477,  0.32563991,  0.01704477,  0.32563991
22-May-26,LODHA,886.75,883.75,  0.00338888,  0.02517945,  0.02511747,  0.47986864,886.85,883.35,  0.00395436,  0.02494031,  0.02487947,  0.47532163,  0.02511747,  0.47986864
22-May-26,LT,3926.6,3890.5,  0.00923623,  0.01722477,  0.01719398,  0.32849061,3926.9,3890.3,  0.00936404,  0.01710788,  0.01707791,  0.32627302,  0.01719398,  0.32849061
22-May-26,LTF,270.15,267.1,  0.01135424,  0.02128137,  0.02124335,  0.40585371,270.25,267.3,  0.01097583,  0.02139149,  0.02135215,  0.40793227,  0.02135215,  0.40793227
22-May-26,LTM,4007.9,4129.6, -0.02991314,  0.01960359,  0.01966857,  0.37576742,3959.2,4081.1, -0.03032458,  0.01908694,  0.01915950,  0.36604169,  0.01966857,  0.37576742
22-May-26,LUPIN,2281.8,2284.5, -0.00118258,  0.01501128,  0.01497399,  0.28607762,2269.5,2266.8,  0.00119040,  0.01519097,  0.01515332,  0.28950385,  0.01515332,  0.28950385
22-May-26,M&M,3081.3,3099.1, -0.00576016,  0.01868083,  0.01863843,  0.35608669,3090.4,3100.6, -0.00329511,  0.01831513,  0.01827066,  0.34906051,  0.01863843,  0.35608669
22-May-26,MANAPPURAM,324.1,322.4,  0.00525910,  0.02251963,  0.02246626,  0.42921721,324.1,322.25,  0.00572447,  0.02233234,  0.02228004,  0.42565957,  0.02246626,  0.42921721
