TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-14,2026-05-14,FO,NSE,STO,83387,,ABCAPITAL,,2026-06-30,2026-06-30,420.00,CE,ABCAPITAL26JUN420CE,2.50,2.50,1.95,1.95,1.95,1.60,349.65,3.20,21700,3100,3,3925995.00,3,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,35360,,ABCAPITAL,,2026-06-30,2026-06-30,390.00,CE,ABCAPITAL26JUN390CE,0.00,0.00,0.00,7.25,7.25,7.25,349.65,7.90,3100,0,0,0.00,0,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,83377,,ABCAPITAL,,2026-06-30,2026-06-30,350.00,CE,ABCAPITAL26JUN350CE,19.95,19.95,16.60,17.95,18.50,16.25,349.65,17.95,99200,-15500,20,22837080.00,17,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,83369,,ABCAPITAL,,2026-06-30,2026-06-30,310.00,CE,ABCAPITAL26JUN310CE,0.00,0.00,0.00,17.70,0.00,17.70,349.65,47.25,0,0,0,0.00,0,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,65623,,ABCAPITAL,,2026-06-30,2026-06-30,385.00,PE,ABCAPITAL26JUN385PE,0.00,0.00,0.00,51.50,0.00,51.50,349.65,41.25,0,0,0,0.00,0,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,83380,,ABCAPITAL,,2026-06-30,2026-06-30,360.00,PE,ABCAPITAL26JUN360PE,20.00,20.00,20.00,20.00,20.00,21.00,349.65,24.60,89900,-6200,2,2356000.00,2,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,65743,,ABCAPITAL,,2026-07-28,2026-07-28,340.00,PE,ABCAPITAL26JUL340PE,0.00,0.00,0.00,25.70,0.00,25.70,349.65,18.90,0,0,0,0.00,0,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STF,61097,,ABCAPITAL,,2026-07-28,2026-07-28,,,ABCAPITAL26JULFUT,352.10,359.00,352.00,356.65,356.90,352.20,349.65,356.65,139500,3100,12,13236380.00,12,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,76066,,ABCAPITAL,,2026-05-26,2026-05-26,310.00,CE,ABCAPITAL26MAY310CE,0.00,0.00,0.00,33.30,33.30,33.30,349.65,40.75,43400,0,0,0.00,0,F1,3100,,,,,
2026-05-14,2026-05-14,FO,NSE,STO,76172,,ABCAPITAL,,2026-05-26,2026-05-26,410.00,CE,ABCAPITAL26MAY410CE,0.35,0.40,0.35,0.40,0.40,0.30,349.65,0.40,297600,0,6,7633285.00,3,F1,3100,,,,,
