TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-05,2026-05-05,FO,NSE,STO,76067,,ABCAPITAL,,2026-05-26,2026-05-26,310.00,PE,ABCAPITAL26MAY310PE,1.50,1.70,0.85,0.90,0.85,2.75,360.85,0.90,474300,136400,440,424335130.00,370,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,83328,,ABCAPITAL,,2026-05-26,2026-05-26,315.00,PE,ABCAPITAL26MAY315PE,1.70,2.10,1.05,1.05,1.05,3.70,360.85,1.05,148800,9300,90,88276995.00,74,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,83336,,ABCAPITAL,,2026-05-26,2026-05-26,355.00,PE,ABCAPITAL26MAY355PE,13.80,14.75,8.50,9.10,9.05,18.45,360.85,9.10,573500,133300,1515,1717554690.00,1379,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,83378,,ABCAPITAL,,2026-06-30,2026-06-30,350.00,PE,ABCAPITAL26JUN350PE,14.75,14.75,12.05,12.15,12.15,18.95,360.85,12.15,58900,34100,25,28168925.00,25,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,65622,,ABCAPITAL,,2026-06-30,2026-06-30,385.00,CE,ABCAPITAL26JUN385CE,0.00,0.00,0.00,8.60,0.00,8.60,360.85,14.90,0,0,0,0.00,0,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,83371,,ABCAPITAL,,2026-06-30,2026-06-30,320.00,CE,ABCAPITAL26JUN320CE,48.00,48.00,48.00,48.00,48.00,14.25,360.85,50.35,3100,3100,1,1140800.00,1,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,76148,,ABCAPITAL,,2026-05-26,2026-05-26,380.00,CE,ABCAPITAL26MAY380CE,3.75,7.60,3.75,5.60,5.40,3.55,360.85,5.60,988900,12400,2798,3346301975.00,2421,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,83339,,ABCAPITAL,,2026-05-26,2026-05-26,375.00,CE,ABCAPITAL26MAY375CE,6.15,9.00,5.55,7.05,6.70,4.45,360.85,7.05,362700,-40300,945,1119558180.00,825,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,76056,,ABCAPITAL,,2026-05-26,2026-05-26,260.00,CE,ABCAPITAL26MAY260CE,0.00,0.00,0.00,86.40,86.40,86.40,360.85,101.75,6200,0,0,0.00,0,F1,3100,,,,,
2026-05-05,2026-05-05,FO,NSE,STO,65740,,ABCAPITAL,,2026-07-28,2026-07-28,330.00,CE,ABCAPITAL26JUL330CE,0.00,0.00,0.00,33.90,0.00,33.90,360.85,48.30,0,0,0,0.00,0,F1,3100,,,,,
