"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","19-May-2026","16,951.95","13,150.27","3,801.68"
"FII/FPI","19-May-2026","17,907.55","20,365.04","-2,457.49"
