Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
06-May-26,360ONE,1084.1,1070.7,  0.01243751,  0.02188858,  0.02185150,  0.41747226,1091.8,1076.7,  0.01392690,  0.02192035,  0.02188761,  0.41816212,  0.02188761,  0.41816212
06-May-26,ABB,7182.5,7328, -0.02005512,  0.01944155,  0.01944457,  0.37148793,7181,7327.5, -0.02019574,  0.01941373,  0.01941764,  0.37097356,  0.01944457,  0.37148793
06-May-26,ABCAPITAL,369.3,360.85,  0.02314696,  0.02141639,  0.02142535,  0.40933073,371.3,361.65,  0.02633347,  0.02158383,  0.02161014,  0.41286106,  0.02161014,  0.41286106
06-May-26,ADANIENSOL,1407.3,1409.6, -0.00163300,  0.02929076,  0.02921769,  0.55820324,1416.8,1418.1, -0.00091714,  0.02944434,  0.02937072,  0.56112687,  0.02937072,  0.56112687
06-May-26,ADANIENT,2540.2,2462.1,  0.03122817,  0.02498281,  0.02501790,  0.47796630,2553.3,2473.2,  0.03187378,  0.02557038,  0.02560567,  0.48919570,  0.02560567,  0.48919570
06-May-26,ADANIGREEN,1353,1331.4,  0.01609333,  0.03049281,  0.03043774,  0.58151218,1362.2,1336.9,  0.01874754,  0.03069567,  0.03064745,  0.58551873,  0.03064745,  0.58551873
06-May-26,ADANIPORTS,1748.3,1725,  0.01341684,  0.02098440,  0.02095348,  0.40031567,1758.1,1730.8,  0.01564995,  0.02096456,  0.02094128,  0.40008252,  0.02095348,  0.40031567
06-May-26,ADANIPOWER,229.12,229.96, -0.00365950,  0.02738424,  0.02731698,  0.52189019,230.63,230.57,  0.00026019,  0.02734263,  0.02727420,  0.52107295,  0.02731698,  0.52189019
06-May-26,ALKEM,5557,5403,  0.02810404,  0.01519648,  0.01528805,  0.29207782,5549,5424.5,  0.02269200,  0.01520262,  0.01524923,  0.29133614,  0.01528805,  0.29207782
06-May-26,AMBER,8661.5,8204,  0.05426608,  0.02768047,  0.02787657,  0.53258106,8737.5,8248,  0.05765336,  0.02800652,  0.02823239,  0.53937900,  0.02823239,  0.53937900
