"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","06-May-2026","22,888.16","16,051.29","6,836.87"
"FII/FPI","06-May-2026","14,459.21","20,294.11","-5,834.90"
